Params,Epochs,EMin,EMax,EStdev,Rewards,RMin,RMax,RStdev
"[0.2, 0.01, 0.1]",73.3306,2,101,25.104008963436723,-37.832335999999984,-72.18999999999998,1.0,25.104008963436723
"[0.2, 0.01, 0.5]",44.0314,2,101,24.01170860766988,-18.402397999999977,-73.82000000000001,1.0,24.01170860766988
"[0.2, 0.01, 0.9]",56.7556,2,101,27.892916771444032,-28.738750000000007,-75.0,1.0,27.892916771444032
"[0.2, 0.01, 0.99]",49.6504,2,101,28.44183364943534,-24.87945400000001,-74.79000000000002,1.0,28.44183364943534
"[0.2, 0.01, 1]",54.964,2,101,29.118331179014262,-29.002123999999785,-78.14000000000001,1.0,29.118331179014262
"[0.2, 0.05, 0.1]",70.6032,2,101,25.354647191412152,-35.90081599999998,-70.80999999999999,1.0,25.354647191412152
"[0.2, 0.05, 0.5]",61.8462,2,101,25.97120493924568,-29.876029999999876,-70.32,1.0,25.97120493924568
"[0.2, 0.05, 0.9]",33.434,2,101,18.85020174522191,-11.132839999999979,-72.8,1.0,18.85020174522191
"[0.2, 0.05, 0.99]",31.0968,2,101,17.28650388755537,-9.651808000000008,-74.72999999999999,1.0,17.28650388755537
"[0.2, 0.05, 1]",30.4586,2,101,17.547053782323797,-9.49778199999998,-72.87,1.0,17.547053782323797
"[0.2, 0.1, 0.1]",85.966,2,101,20.157184456825842,-45.824612000000045,-70.48,1.0,20.157184456825842
"[0.2, 0.1, 0.5]",69.2022,2,101,25.690909744998933,-35.1205320000001,-72.75,1.0,25.690909744998933
"[0.2, 0.1, 0.9]",34.3062,2,101,18.384611562621107,-11.371200000000002,-71.47999999999999,1.0,18.384611562621107
"[0.2, 0.1, 0.99]",27.3,2,101,13.304758145864207,-6.889117999999947,-71.73000000000002,1.0,13.304758145864207
"[0.2, 0.1, 1]",27.0388,2,101,13.55118544930414,-6.857771999999915,-72.41000000000001,1.0,13.55118544930414
"[0.2, 0.2, 0.1]",93.0118,2,101,15.296757058242763,-50.14542000000012,-70.47,1.0,15.296757058242763
"[0.2, 0.2, 0.5]",83.4072,2,101,21.353626425721274,-44.295862000000106,-70.58999999999999,1.0,21.353626425721274
"[0.2, 0.2, 0.9]",38.6646,2,101,21.044891673798382,-14.424697999999987,-70.22,1.0,21.044891673798382
"[0.2, 0.2, 0.99]",27.686,2,101,12.385051507373397,-6.832126000000005,-71.14,1.0,12.385051507373397
"[0.2, 0.2, 1]",28.0088,2,101,13.2352268523559,-7.206237999999964,-71.67,1.0,13.2352268523559
"[0.2, 0.4, 0.1]",93.7596,2,101,14.603839870506958,-50.69312799999995,-70.67,1.0,14.603839870506958
"[0.2, 0.4, 0.5]",84.7164,2,101,20.85572238746327,-45.43301800000006,-69.95,1.0,20.85572238746327
"[0.2, 0.4, 0.9]",50.3942,2,101,25.25648705743062,-22.744744000000008,-70.11999999999999,1.0,25.25648705743062
"[0.2, 0.4, 0.99]",29.9042,2,101,14.7104491788311,-8.447493999999956,-69.89999999999999,1.0,14.7104491788311
"[0.2, 0.4, 1]",28.8794,2,101,14.038416110650772,-7.812639999999999,-70.63000000000001,1.0,14.038416110650772
"[0.4, 0.01, 0.1]",76.8234,2,101,25.17904843652734,-43.37813800000005,-73.78000000000002,1.0,25.17904843652734
"[0.4, 0.01, 0.5]",72.0676,2,101,25.86231220833451,-39.84807199999996,-73.27,1.0,25.86231220833451
"[0.4, 0.01, 0.9]",56.7914,2,101,26.784371036284686,-29.458114000000055,-74.6,1.0,26.784371036284686
"[0.4, 0.01, 0.99]",60.2826,2,101,28.145701608246686,-33.076812000000025,-76.63,1.0,28.145701608246686
"[0.4, 0.01, 1]",60.5872,2,101,28.21597845798533,-33.43952399999983,-74.58000000000003,1.0,28.21597845798533
"[0.4, 0.05, 0.1]",84.9582,2,101,22.02072811580657,-49.07377400000004,-73.15,1.0,22.02072811580657
"[0.4, 0.05, 0.5]",74.9088,2,101,25.499308204057638,-41.868484000000116,-75.21000000000002,1.0,25.499308204057638
"[0.4, 0.05, 0.9]",41.8902,2,101,20.080672941509523,-17.411778000000076,-72.89000000000001,1.0,20.080672941509523
"[0.4, 0.05, 0.99]",37.3368,2,101,17.17881852155774,-14.201888,-74.36,1.0,17.17881852155774
"[0.4, 0.05, 1]",37.9092,2,101,17.597532009009832,-14.623206000000017,-72.71,1.0,17.597532009009832
"[0.4, 0.1, 0.1]",88.6054,2,101,19.7620208499495,-51.540424,-73.05,1.0,19.7620208499495
"[0.4, 0.1, 0.5]",80.9472,2,101,23.74607568988472,-46.299820000000075,-71.42999999999999,1.0,23.74607568988472
"[0.4, 0.1, 0.9]",44.626,2,101,21.900903496743204,-19.55155600000002,-74.07000000000002,1.0,21.900903496743204
"[0.4, 0.1, 0.99]",35.557,2,101,14.648530347500541,-12.609567999999982,-73.04,1.0,14.648530347500541
"[0.4, 0.1, 1]",35.6946,2,101,14.933007540766411,-12.722516000000025,-76.97,1.0,14.933007540766411
"[0.4, 0.2, 0.1]",93.4018,2,101,16.149086871995078,-55.102454,-72.48000000000002,1.0,16.149086871995078
"[0.4, 0.2, 0.5]",85.8668,2,101,21.397576546816683,-49.64524399999995,-72.17000000000002,1.0,21.397576546816683
"[0.4, 0.2, 0.9]",51.3258,2,101,24.783944641129082,-24.671437999999988,-72.08,1.0,24.783944641129082
"[0.4, 0.2, 0.99]",37.4612,2,101,15.641333326693966,-13.848570000000008,-72.72,1.0,15.641333326693966
"[0.4, 0.2, 1]",35.924,2,101,14.620701241554146,-12.822223999999974,-73.21,1.0,14.620701241554146
"[0.4, 0.4, 0.1]",94.508,2,101,14.878395655540302,-55.77371599999983,-74.7,1.0,14.878395655540302
"[0.4, 0.4, 0.5]",87.4316,2,101,20.558915970030437,-51.03932000000007,-71.58,1.0,20.558915970030437
"[0.4, 0.4, 0.9]",60.738,2,101,26.55384008131948,-31.849981999999883,-74.79999999999998,1.0,26.55384008131948
"[0.4, 0.4, 0.99]",39.7206,2,101,17.581947221545747,-15.560819999999923,-72.28999999999999,1.0,17.581947221545747
"[0.4, 0.4, 1]",37.5038,2,101,15.786858405176282,-13.915523999999968,-71.62999999999998,1.0,15.786858405176282
"[0.6, 0.01, 0.1]",91.2288,2,101,18.765726493215325,-57.60059999999989,-78.22999999999999,1.0,18.765726493215325
"[0.6, 0.01, 0.5]",80.149,2,101,24.767323591108372,-49.167630000000024,-77.53000000000002,1.0,24.767323591108372
"[0.6, 0.01, 0.9]",67.9372,2,101,26.267889203319772,-39.48623399999998,-78.13000000000001,1.0,26.267889203319772
"[0.6, 0.01, 0.99]",69.313,2,101,26.70185008888129,-40.93038799999998,-77.29,1.0,26.70185008888129
"[0.6, 0.01, 1]",70.109,2,101,26.498982857845395,-41.640545999999965,-78.24,1.0,26.498982857845395
"[0.6, 0.05, 0.1]",91.1032,2,101,19.032633717493773,-57.80265800000016,-79.74,1.0,19.032633717493773
"[0.6, 0.05, 0.5]",81.1488,2,101,24.734023710145966,-50.11384599999999,-79.32000000000001,1.0,24.734023710145966
"[0.6, 0.05, 0.9]",60.5786,2,101,24.765000960931435,-33.14232799999997,-77.94000000000001,1.0,24.765000960931435
"[0.6, 0.05, 0.99]",54.4682,2,101,21.422776712077056,-27.785129999999988,-75.68,1.0,21.422776712077056
"[0.6, 0.05, 1]",53.9918,2,101,21.547122200356302,-27.547043999999964,-77.15000000000002,1.0,21.547122200356302
"[0.6, 0.1, 0.1]",92.6608,2,101,17.66597295340616,-58.925640000000016,-77.99000000000001,1.0,17.66597295340616
"[0.6, 0.1, 0.5]",85.9784,2,101,22.525645180605693,-53.89570399999989,-77.86000000000001,1.0,22.525645180605693
