Params,Epochs,EMin,EMax,EStdev,Rewards,RMin,RMax,RStdev
"[0.2, 0.01, 0.1]",56.5572,2,101,24.99657432112653,-25.750366000000035,-73.88000000000001,1.0,24.99657432112653
"[0.2, 0.01, 0.5]",74.4466,2,101,24.844950918662853,-38.83459199999985,-74.14000000000001,1.0,24.844950918662853
"[0.2, 0.01, 0.9]",50.375,2,101,27.38237379761832,-24.180407999999904,-73.86,1.0,27.38237379761832
"[0.2, 0.01, 0.99]",52.3828,2,101,28.84417825271177,-26.877401999999925,-74.81,1.0,28.84417825271177
"[0.2, 0.01, 1]",55.4202,2,101,29.085686668243344,-29.24824199999997,-73.99000000000001,1.0,29.085686668243344
"[0.2, 0.05, 0.1]",76.682,2,101,23.593971804535723,-39.331374000000004,-71.86,1.0,23.593971804535723
"[0.2, 0.05, 0.5]",66.6408,2,101,25.667388205361544,-33.119418000000096,-73.94000000000001,1.0,25.667388205361544
"[0.2, 0.05, 0.9]",33.7938,2,101,18.995874842524692,-11.369188000000001,-71.78999999999999,1.0,18.995874842524692
"[0.2, 0.05, 0.99]",30.4872,2,101,17.53924305667734,-9.516485999999995,-72.21,1.0,17.53924305667734
"[0.2, 0.05, 1]",30.628,2,101,17.572390533496353,-9.583009999999945,-75.07000000000001,1.0,17.572390533496353
"[0.2, 0.1, 0.1]",91.2822,2,101,16.73152175041532,-49.0789140000001,-69.74999999999999,1.0,16.73152175041532
"[0.2, 0.1, 0.5]",69.1526,2,101,25.409948277284844,-34.919199999999954,-68.89999999999999,1.0,25.409948277284844
"[0.2, 0.1, 0.9]",31.2106,2,101,16.442583751031403,-9.355679999999978,-72.08,1.0,16.442583751031403
"[0.2, 0.1, 0.99]",27.4768,2,101,13.550326717717745,-7.0240439999999555,-71.16,1.0,13.550326717717745
"[0.2, 0.1, 1]",27.9172,2,101,13.86079809912795,-7.269199999999936,-72.39,1.0,13.86079809912795
"[0.2, 0.2, 0.1]",89.9058,2,101,17.760914313070465,-48.277403999999976,-71.28,1.0,17.760914313070465
"[0.2, 0.2, 0.5]",75.7612,2,101,24.00457720378642,-39.118202,-73.82000000000001,1.0,24.00457720378642
"[0.2, 0.2, 0.9]",34.7032,2,101,18.440266388436346,-11.58777999999999,-71.28999999999999,1.0,18.440266388436346
"[0.2, 0.2, 0.99]",27.079,2,101,11.308450045410375,-6.326287999999984,-74.0,1.0,11.308450045410375
"[0.2, 0.2, 1]",26.0796,2,101,10.171484350967482,-5.718297999999954,-71.22,1.0,10.171484350967482
"[0.2, 0.4, 0.1]",94.0238,2,101,14.39851392526351,-50.76573800000005,-69.58,1.0,14.39851392526351
"[0.2, 0.4, 0.5]",86.4636,2,101,19.906365096956065,-46.481341999999984,-71.32,1.0,19.906365096956065
"[0.2, 0.4, 0.9]",44.439,2,101,22.544931619917353,-18.069040000000033,-72.74,1.0,22.544931619917353
"[0.2, 0.4, 0.99]",27.4276,2,101,10.090284382421915,-6.258305999999953,-71.97,1.0,10.090284382421915
"[0.2, 0.4, 1]",26.4376,2,101,9.689658041852127,-5.797757999999952,-70.58,1.0,9.689658041852127
"[0.4, 0.01, 0.1]",69.956,2,101,25.347815785955202,-37.537951999999976,-72.48,1.0,25.347815785955202
"[0.4, 0.01, 0.5]",72.4058,2,101,26.162776618352655,-40.315483999999934,-73.89000000000001,1.0,26.162776618352655
"[0.4, 0.01, 0.9]",62.718,2,101,27.126956270722058,-33.72480600000005,-73.54999999999998,1.0,27.126956270722058
"[0.4, 0.01, 0.99]",64.0772,2,101,27.978797772947782,-35.941115999999965,-76.8,1.0,27.978797772947782
"[0.4, 0.01, 1]",65.1554,2,101,28.215882046162093,-37.17311400000008,-76.81,1.0,28.215882046162093
"[0.4, 0.05, 0.1]",87.3706,2,101,20.475882090507184,-50.60818199999996,-71.61,1.0,20.475882090507184
"[0.4, 0.05, 0.5]",75.6412,2,101,25.333783057885388,-42.38470200000004,-73.28000000000002,1.0,25.333783057885388
"[0.4, 0.05, 0.9]",47.5432,2,101,22.933306583934435,-21.58146200000003,-73.84000000000002,1.0,22.933306583934435
"[0.4, 0.05, 0.99]",44.0798,2,101,21.66656799877796,-19.389909999999965,-74.39000000000001,1.0,21.66656799877796
"[0.4, 0.05, 1]",44.5656,2,101,21.691550453126396,-19.75767799999999,-75.85999999999999,1.0,21.691550453126396
"[0.4, 0.1, 0.1]",92.0458,2,101,17.138831356402008,-53.99280800000003,-71.58999999999997,1.0,17.138831356402008
"[0.4, 0.1, 0.5]",82.1188,2,101,23.181091117680747,-46.94630800000009,-73.62,1.0,23.181091117680747
"[0.4, 0.1, 0.9]",46.5012,2,101,22.50205142104015,-20.81263600000003,-73.19999999999997,1.0,22.50205142104015
"[0.4, 0.1, 0.99]",38.712,2,101,17.451881200025397,-15.037678000000046,-74.63,1.0,17.451881200025397
"[0.4, 0.1, 1]",38.8822,2,101,17.905908123230933,-15.292165999999954,-73.86,1.0,17.905908123230933
"[0.4, 0.2, 0.1]",93.3512,2,101,16.070475435978977,-54.87741200000018,-71.46000000000001,1.0,16.070475435978977
"[0.4, 0.2, 0.5]",85.1426,2,101,21.65977652966436,-49.01180799999994,-73.19000000000001,1.0,21.65977652966436
"[0.4, 0.2, 0.9]",50.3804,2,101,23.714485360494724,-23.612491999999946,-72.13000000000001,1.0,23.714485360494724
"[0.4, 0.2, 0.99]",35.9346,2,101,14.753340437460551,-12.889302000000013,-73.47000000000001,1.0,14.753340437460551
"[0.4, 0.2, 1]",35.8834,2,101,14.543092621646345,-12.862104000000024,-75.08999999999997,1.0,14.543092621646345
"[0.4, 0.4, 0.1]",94.3176,2,101,15.071455846047648,-55.56187000000006,-73.14999999999999,1.0,15.071455846047648
"[0.4, 0.4, 0.5]",89.0272,2,101,19.54842193313412,-52.11927600000014,-70.61,1.0,19.54842193313412
"[0.4, 0.4, 0.9]",57.795,2,101,25.750626553384723,-29.334264000000044,-73.81,1.0,25.750626553384723
"[0.4, 0.4, 0.99]",36.0932,2,101,13.435196266442093,-12.686881999999983,-73.86999999999999,1.0,13.435196266442093
"[0.4, 0.4, 1]",35.3626,2,101,12.897609940715084,-12.216098000000008,-75.83000000000001,1.0,12.897609940715084
"[0.6, 0.01, 0.1]",93.6264,2,101,16.78334742528747,-59.536015999999954,-76.80999999999999,1.0,16.78334742528747
"[0.6, 0.01, 0.5]",82.4164,2,101,23.973341881847443,-50.90998399999993,-79.0,1.0,23.973341881847443
"[0.6, 0.01, 0.9]",79.5358,2,101,24.72555222584439,-48.90079599999995,-77.9,1.0,24.72555222584439
"[0.6, 0.01, 0.99]",78.2814,2,101,25.479765595112923,-48.55658399999987,-78.16000000000001,1.0,25.479765595112923
"[0.6, 0.01, 1]",78.388,2,101,25.36631882346129,-48.59873799999985,-78.56,1.0,25.36631882346129
"[0.6, 0.05, 0.1]",91.1642,2,101,19.078473074282783,-57.84409400000009,-76.78999999999999,1.0,19.078473074282783
"[0.6, 0.05, 0.5]",84.8016,2,101,22.961088778705086,-52.71900200000001,-76.63000000000001,1.0,22.961088778705086
"[0.6, 0.05, 0.9]",65.9146,2,101,26.024985493601037,-37.64456200000008,-77.86000000000003,1.0,26.024985493601037
"[0.6, 0.05, 0.99]",62.4962,2,101,25.38451583239564,-34.992108000000115,-76.54,1.0,25.38451583239564
"[0.6, 0.05, 1]",62.7782,2,101,25.798977507320878,-35.520405999999916,-79.67,1.0,25.798977507320878
"[0.6, 0.1, 0.1]",94.2114,2,101,16.219122524449606,-60.252771999999936,-76.57,1.0,16.219122524449606
"[0.6, 0.1, 0.5]",87.8832,2,101,21.50170402992363,-55.36129800000003,-77.61,1.0,21.50170402992363
"[0.6, 0.1, 0.9]",66.1478,2,101,26.06510619095447,-37.755804,-75.43,1.0,26.06510619095447
"[0.6, 0.1, 0.99]",57.5328,2,101,23.5961465092464,-30.66251399999991,-77.00999999999999,1.0,23.5961465092464
"[0.6, 0.1, 1]",57.213,2,101,23.689823642863235,-30.598621999999963,-77.86999999999999,1.0,23.689823642863235
"[0.6, 0.2, 0.1]",94.7216,2,101,15.660039104926575,-60.61131799999997,-75.52,1.0,15.660039104926575
"[0.6, 0.2, 0.5]",90.2466,2,101,19.697491037954098,-57.06806599999989,-78.09,1.0,19.697491037954098
"[0.6, 0.2, 0.9]",68.804,2,101,26.416495484152183,-39.97284999999994,-76.68,1.0,26.416495484152183
"[0.6, 0.2, 0.99]",53.766,2,101,21.598496358797206,-27.426004000000002,-78.04000000000002,1.0,21.598496358797206
"[0.6, 0.2, 1]",53.6614,2,101,21.660480501473437,-27.36978,-77.69,1.0,21.660480501473437
"[0.6, 0.4, 0.1]",95.6114,2,101,14.715111013061007,-61.376154000000284,-76.92000000000002,1.0,14.715111013061007
"[0.6, 0.4, 0.5]",91.5526,2,101,18.771314871424014,-58.25251600000026,-77.35,1.0,18.771314871424014
"[0.6, 0.4, 0.9]",74.733,2,101,25.8982556379918,-44.864338000000004,-77.7,1.0,25.8982556379918
"[0.6, 0.4, 0.99]",53.2528,2,101,20.562907733321516,-26.87978600000001,-80.59999999999998,1.0,20.562907733321516
"[0.6, 0.4, 1]",52.5438,2,101,20.287605278924534,-26.301987999999973,-78.93000000000002,1.0,20.287605278924534
"[0.8, 0.01, 0.1]",95.8424,2,101,15.144797935537392,-66.17123800000012,-83.16000000000003,1.0,15.144797935537392
"[0.8, 0.01, 0.5]",91.0322,2,101,19.765292418606474,-61.877315999999965,-83.17999999999999,1.0,19.765292418606474
"[0.8, 0.01, 0.9]",89.479,2,101,20.73095524264549,-60.84452199999998,-81.45999999999998,1.0,20.73095524264549
"[0.8, 0.01, 0.99]",89.7736,2,101,20.715591028822583,-61.21933000000019,-81.93999999999998,1.0,20.715591028822583
"[0.8, 0.01, 1]",88.913,2,101,21.19836555407121,-60.50542000000005,-82.35,1.0,21.19836555407121
"[0.8, 0.05, 0.1]",95.082,2,101,16.123009990812285,-65.66491999999992,-82.27999999999999,1.0,16.123009990812285
"[0.8, 0.05, 0.5]",93.4188,2,101,17.687312460643422,-63.812771999999846,-82.35,1.0,17.687312460643422
"[0.8, 0.05, 0.9]",84.9528,2,101,23.26397108428658,-56.66686000000015,-82.71000000000001,1.0,23.26397108428658
"[0.8, 0.05, 0.99]",83.8004,2,101,23.55000196156208,-55.91767000000001,-83.66,1.0,23.55000196156208
"[0.8, 0.05, 1]",84.0168,2,101,23.541703249943104,-56.324900000000184,-82.13999999999999,1.0,23.541703249943104
"[0.8, 0.1, 0.1]",95.8678,2,101,14.99052113186813,-66.10457600000004,-84.43,1.0,14.99052113186813
"[0.8, 0.1, 0.5]",93.9388,2,101,17.341106579027795,-64.44017399999977,-83.40999999999998,1.0,17.341106579027795
"[0.8, 0.1, 0.9]",85.6006,2,101,22.943753217523614,-57.15084600000025,-83.58,1.0,22.943753217523614
"[0.8, 0.1, 0.99]",81.784,2,101,23.844643290623313,-53.97339199999986,-82.26,1.0,23.844643290623313
"[0.8, 0.1, 1]",82.187,2,101,23.860104404330528,-54.50837799999999,-82.38999999999997,1.0,23.860104404330528
"[0.8, 0.2, 0.1]",96.4686,2,101,14.272921521486612,-66.75910599999995,-85.74000000000001,1.0,14.272921521486612
"[0.8, 0.2, 0.5]",93.6256,2,101,17.806041108149362,-64.35762199999975,-82.37999999999998,1.0,17.806041108149362
"[0.8, 0.2, 0.9]",86.14,2,101,22.792164255190052,-57.71208199999994,-84.58,1.0,22.792164255190052
"[0.8, 0.2, 0.99]",80.65,2,101,23.970929633451732,-52.84709799999999,-81.87,1.0,23.970929633451732
"[0.8, 0.2, 1]",80.2804,2,101,24.207090016582296,-52.68886400000026,-82.67999999999998,1.0,24.207090016582296
"[0.8, 0.4, 0.1]",96.098,2,101,14.74237357389652,-66.40808600000013,-83.67,1.0,14.74237357389652
"[0.8, 0.4, 0.5]",94.4428,2,101,16.724334265505124,-64.90182400000013,-81.58,1.0,16.724334265505124
